run_id,variant,case_set,instance_id,solved,steps_used,tree_nodes,effective_steps,steps_allowed,fraction_steps_used,total_tokens,cost_bpt,cost_usd,duration_s,stopped_reason
B_c2_rafe_linear,B,c2,assignee_board_001,0,36,38,38,18,2.0000,111217,2086650.0,0.00566032,187.25,reviewer_rejected
B_c2_rafe_linear,B,c2,campaign_header_001,0,0,0,0,18,0.0000,0,0.0,0.0,2.79,
B_c2_rafe_linear,B,c2,comment_highlight_001,1,4,5,5,18,0.2222,9799,388920.0,0.0010716200000000001,58.51,auto_finalized
B_c2_rafe_linear,B,c2,dispatch_preview_001,0,36,38,38,18,2.0000,105545,2110470.0,0.00570619,176.2,reviewer_rejected
B_c2_rafe_linear,B,c2,fee_rounding_001,1,3,4,4,18,0.1667,6411,277920.0,0.0007604,50.21,auto_finalized
B_c2_rafe_linear,B,c2,headline_api_001,1,21,23,23,18,1.1667,60291,531780.0,0.0016013499999999999,145.52,auto_finalized
B_c2_rafe_linear,B,c2,incident_brief_c2_001,0,36,38,38,18,2.0000,119241,2067960.0,0.00561492,168.91,reviewer_rejected
B_c2_rafe_linear,B,c2,invoice_summary_001,1,3,4,4,18,0.1667,7427,316050.0,0.00087018,53.28,auto_finalized
B_c2_rafe_linear,B,c2,label_join_001,1,3,4,4,18,0.1667,6435,280980.0,0.00077914,50.54,auto_finalized
B_c2_rafe_linear,B,c2,partner_brief_001,1,4,5,5,18,0.2222,9141,402390.0,0.0012143599999999998,66.05,auto_finalized
B_c2_rafe_linear,B,c2,profile_preview_001,0,36,38,38,18,2.0000,102420,1909230.0,0.00517399,162.17,reviewer_rejected
B_c2_rafe_linear,B,c2,queue_digest_001,1,4,5,5,18,0.2222,11243,603240.0,0.0018401899999999998,91.23,auto_finalized
B_c2_rafe_linear,B,c2,ratio_guard_001,1,3,4,4,18,0.1667,7552,326280.0,0.0009319199999999999,54.81,auto_finalized
B_c2_rafe_linear,B,c2,renewal_banner_001,0,36,38,38,18,2.0000,101248,1760880.0,0.00473808,185.23,reviewer_rejected
B_c2_rafe_linear,B,c2,retry_slot_001,1,3,4,4,18,0.1667,6775,292260.0,0.00081003,51.85,auto_finalized
B_c2_rafe_linear,B,c2,shipment_digest_001,1,4,5,5,18,0.2222,9562,389730.0,0.00109067,59.03,auto_finalized
