run_id,variant,case_set,instance_id,solved,steps_used,effective_steps,tree_nodes,steps_allowed,solve_fraction,total_tokens,cost_bpt,stopped_reason
B_c2_rafe_linear,B,c2,retry_slot_001,1,3,4,4,18,0.1667,6775,292260.0,auto_finalized
B_c2_rafe_linear,B,c2,shipment_digest_001,1,4,5,5,18,0.2222,9562,389730.0,auto_finalized
B_c2_rafe_linear,B,c2,sprint_rollup_001,1,3,4,4,18,0.1667,6990,304110.0,auto_finalized
B_c2_rafe_linear,B,c2,tag_visibility_001,1,3,4,4,18,0.1667,6521,283290.0,auto_finalized
B_c2_rafe_linear,B,c2,timeline_caption_001,0,36,38,38,18,2.0000,113663,2287950.0,reviewer_rejected
B_c2_rafe_linear,B,c2,window_center_001,0,0,0,0,0,,0,0.0,
B_c3_rafe_linear,B,c3,alert_subject_001,0,36,38,38,18,2.0000,99574,1645980.0,reviewer_rejected
B_c3_rafe_linear,B,c3,backlog_health_medium_c3_001,1,4,5,5,18,0.2222,9479,385170.0,auto_finalized
B_c3_rafe_linear,B,c3,c3_banner_trim_001,1,3,4,4,18,0.1667,6549,280710.0,auto_finalized
B_c3_rafe_linear,B,c3,c3_clamp_floor_001,1,3,4,4,18,0.1667,6613,297300.0,auto_finalized
B_c3_rafe_linear,B,c3,c3_csv_count_001,1,3,4,4,18,0.1667,6419,275820.0,auto_finalized
B_c3_rafe_linear,B,c3,c3_eta_label_001,1,3,4,4,18,0.1667,6454,282630.0,auto_finalized
B_c3_rafe_linear,B,c3,c3_initials_join_001,1,31,33,33,18,1.7222,85882,1488630.0,submitted
B_c3_rafe_linear,B,c3,c3_slug_tail_001,1,3,4,4,18,0.1667,6592,296670.0,auto_finalized
B_c3_rafe_linear,B,c3,c3_title_case_001,1,7,8,8,18,0.3889,16274,573360.0,auto_finalized
B_c3_rafe_linear,B,c3,escalation_caption_001,0,36,38,38,18,2.0000,101879,1782960.0,reviewer_rejected
B_c3_rafe_linear,B,c3,invoice_alerts_medium_c3_001,1,4,5,5,18,0.2222,9286,371010.0,auto_finalized
B_c3_rafe_linear,B,c3,ledger_preview_001,1,4,5,5,18,0.2222,8729,357720.0,auto_finalized
B_c3_rafe_linear,B,c3,oncall_brief_medium_c3_001,1,4,5,5,18,0.2222,9789,407790.0,auto_finalized
B_c3_rafe_linear,B,c3,quota_snapshot_medium_c3_001,1,4,5,5,18,0.2222,9473,387060.0,auto_finalized
B_c3_rafe_linear,B,c3,release_notes_medium_c3_001,1,4,5,5,18,0.2222,9600,390510.0,auto_finalized
B_c3_rafe_linear,B,c3,roster_signature_001,0,24,26,26,18,1.3333,67726,2006520.0,reviewer_rejected
B_c3_rafe_linear,B,c3,segment_badge_001,1,5,6,6,18,0.2778,10937,441150.0,auto_finalized
B_c3_rafe_linear,B,c3,ticket_digest_medium_c3_001,1,4,5,5,18,0.2222,9627,389520.0,auto_finalized
B_c3_rafe_linear,B,c3,transfer_digest_001,0,36,38,38,18,2.0000,119143,2317590.0,reviewer_rejected
B_c3_rafe_linear,B,c3,uptime_rollup_medium_c3_001,1,4,5,5,18,0.2222,10234,458220.0,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,board_rollup_001,1,3,4,4,18,0.1667,7585,335550.0,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,budget_snapshot_001,0,36,38,38,18,2.0000,109510,2348160.0,reviewer_rejected
B_strict_c1_rafe_linear,B_strict,c1,contact_card_001,0,22,24,24,18,1.2222,59721,862260.0,reviewer_rejected
B_strict_c1_rafe_linear,B_strict,c1,digest_preview_001,0,36,38,38,18,2.0000,139645,2635860.0,reviewer_rejected
B_strict_c1_rafe_linear,B_strict,c1,incident_brief_001,1,6,7,7,18,0.3333,16410,638730.0,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,invoice_footer_001,1,10,11,11,18,0.5556,32279,1118490.0,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,label_formatter_001,1,6,7,7,18,0.3333,15194,592260.0,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,median_window_001,1,3,4,4,18,0.1667,6663,288900.0,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,milestone_rollup_001,1,4,5,5,18,0.2222,9248,374640.0,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,nested_app_001,1,5,6,6,18,0.2778,12643,509070.0,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,owner_recap_001,1,17,18,18,18,0.9444,49277,1619790.0,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,owner_sort_001,1,3,4,4,18,0.1667,6645,283230.0,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,priority_snapshot_001,1,4,5,5,18,0.2222,10114,407820.0,auto_finalized
